idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,label
744.0,772.0,0.0,0.0,0.0,53.0,0.0,0.0,O
498.0,510.0,0.0,0.0,0.0,51.0,0.0,0.0,O
251.0,235.0,0.0,0.0,0.0,49.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,O
0.0,0.0,0.0,0.0,55.0,52.0,0.0,74.0,O
0.0,0.0,0.0,0.0,40.0,38.0,0.0,81.0,O
0.0,0.0,0.0,0.0,33.0,29.0,0.0,81.0,O
0.0,0.0,0.0,0.0,33.0,27.0,0.0,83.0,O
0.0,0.0,0.0,0.0,33.0,37.0,0.0,83.0,O
0.0,0.0,0.0,0.0,33.0,45.0,0.0,83.0,O
0.0,0.0,0.0,0.0,36.0,46.0,0.0,83.0,O
0.0,0.0,0.0,0.0,40.0,46.0,0.0,83.0,O
0.0,0.0,0.0,0.0,45.0,52.0,0.0,82.0,O
0.0,0.0,0.0,0.0,28.0,96.0,0.0,144.0,O
0.0,0.0,0.0,0.0,0.0,114.0,0.0,83.0,O
0.0,0.0,0.0,0.0,33.0,177.0,0.0,126.0,O
0.0,0.0,0.0,0.0,105.0,241.0,0.0,183.0,O
0.0,0.0,0.0,0.0,168.0,294.0,0.0,239.0,O
0.0,0.0,0.0,0.0,219.0,336.0,0.0,280.0,O
0.0,0.0,0.0,0.0,260.0,373.0,0.0,315.0,O
0.0,0.0,0.0,0.0,311.0,417.0,0.0,360.0,O
0.0,0.0,0.0,0.0,366.0,472.0,0.0,408.0,O
0.0,0.0,0.0,0.0,369.0,501.0,0.0,449.0,O
0.0,0.0,0.0,0.0,360.0,459.0,0.0,377.0,O
0.0,0.0,0.0,0.0,316.0,423.0,0.0,353.0,O
0.0,0.0,0.0,0.0,345.0,445.0,0.0,380.0,O
0.0,0.0,0.0,0.0,283.0,388.0,0.0,422.0,O
0.0,0.0,0.0,0.0,223.0,340.0,0.0,367.0,O
0.0,0.0,0.0,0.0,194.0,323.0,0.0,327.0,O
0.0,0.0,0.0,0.0,153.0,289.0,0.0,292.0,O
0.0,0.0,0.0,0.0,99.0,238.0,0.0,247.0,O
0.0,0.0,0.0,0.0,40.0,171.0,0.0,199.0,O
0.0,0.0,0.0,0.0,32.0,128.0,0.0,158.0,O
0.0,0.0,0.0,0.0,28.0,107.0,0.0,158.0,O
0.0,0.0,0.0,0.0,78.0,146.0,0.0,183.0,O
0.0,0.0,0.0,0.0,78.0,146.0,0.0,193.0,O
0.0,0.0,0.0,0.0,174.0,233.0,0.0,193.0,O
0.0,0.0,0.0,0.0,263.0,303.0,0.0,269.0,O
0.0,0.0,0.0,0.0,303.0,325.0,0.0,312.0,O
0.0,0.0,0.0,0.0,303.0,313.0,0.0,312.0,O
0.0,0.0,0.0,0.0,303.0,308.0,0.0,312.0,O
0.0,0.0,0.0,0.0,307.0,321.0,0.0,312.0,O
0.0,0.0,0.0,0.0,312.0,330.0,0.0,312.0,O
0.0,0.0,0.0,0.0,315.0,338.0,0.0,312.0,O
0.0,0.0,0.0,0.0,259.0,281.0,0.0,265.0,O
0.0,0.0,0.0,0.0,180.0,281.0,0.0,265.0,O
0.0,0.0,0.0,0.0,180.0,281.0,0.0,265.0,O
0.0,0.0,0.0,0.0,195.0,299.0,0.0,292.0,O
0.0,0.0,0.0,0.0,219.0,323.0,0.0,248.0,O
0.0,0.0,0.0,0.0,219.0,323.0,0.0,248.0,O
0.0,0.0,0.0,0.0,219.0,325.0,0.0,258.0,O
0.0,0.0,0.0,0.0,261.0,369.0,0.0,313.0,O
0.0,0.0,0.0,0.0,311.0,428.0,0.0,380.0,O
0.0,0.0,0.0,0.0,370.0,497.0,0.0,453.0,O
0.0,0.0,0.0,0.0,436.0,578.0,0.0,530.0,O
0.0,0.0,0.0,0.0,479.0,578.0,0.0,530.0,O
0.0,0.0,0.0,0.0,451.0,578.0,0.0,530.0,O
0.0,0.0,0.0,0.0,361.0,578.0,0.0,530.0,O
0.0,0.0,0.0,0.0,288.0,540.0,0.0,530.0,O
0.0,0.0,0.0,0.0,288.0,547.0,0.0,530.0,O
0.0,0.0,0.0,0.0,288.0,555.0,0.0,520.0,O
0.0,0.0,0.0,0.0,245.0,509.0,0.0,465.0,O
0.0,0.0,0.0,0.0,195.0,441.0,0.0,398.0,O
0.0,0.0,0.0,0.0,142.0,364.0,0.0,330.0,O
0.0,0.0,0.0,0.0,76.0,283.0,0.0,256.0,O
0.0,0.0,0.0,0.0,100.0,283.0,0.0,167.0,O
0.0,0.0,0.0,0.0,128.0,201.0,0.0,64.0,O
0.0,0.0,0.0,0.0,114.0,108.0,0.0,0.0,O
0.0,0.0,0.0,0.0,118.0,91.0,0.0,67.0,O
0.0,0.0,0.0,0.0,118.0,84.0,0.0,67.0,O
0.0,0.0,0.0,0.0,118.0,75.0,0.0,67.0,O
0.0,0.0,0.0,0.0,115.0,64.0,0.0,67.0,O
0.0,0.0,0.0,0.0,110.0,64.0,0.0,69.0,O
0.0,0.0,0.0,0.0,138.0,81.0,0.0,64.0,O
0.0,0.0,0.0,0.0,173.0,97.0,0.0,61.0,O
0.0,0.0,0.0,0.0,80.0,1.0,0.0,42.0,O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,O
0.0,0.0,0.0,0.0,22.0,113.0,0.0,61.0,O
0.0,0.0,0.0,0.0,86.0,166.0,0.0,124.0,O
0.0,0.0,0.0,0.0,86.0,153.0,0.0,124.0,O
0.0,0.0,0.0,0.0,86.0,141.0,0.0,124.0,O
0.0,0.0,0.0,0.0,86.0,129.0,0.0,124.0,O
0.0,0.0,0.0,0.0,117.0,130.0,0.0,149.0,O
0.0,0.0,0.0,0.0,169.0,175.0,0.0,157.0,O
0.0,0.0,0.0,0.0,243.0,237.0,0.0,223.0,O
0.0,0.0,0.0,0.0,327.0,321.0,0.0,300.0,O
0.0,0.0,0.0,0.0,387.0,380.0,0.0,353.0,O
0.0,0.0,0.0,0.0,408.0,403.0,0.0,379.0,O
0.0,0.0,0.0,0.0,450.0,447.0,0.0,423.0,O
0.0,0.0,0.0,0.0,503.0,491.0,0.0,462.0,O
0.0,0.0,0.0,0.0,513.0,499.0,0.0,472.0,O
0.0,0.0,0.0,0.0,536.0,528.0,0.0,503.0,O
0.0,0.0,0.0,0.0,540.0,558.0,0.0,522.0,O
0.0,0.0,0.0,0.0,564.0,575.0,0.0,590.0,O
0.0,0.0,0.0,0.0,582.0,590.0,0.0,613.0,O
0.0,0.0,0.0,0.0,607.0,614.0,0.0,640.0,O
0.0,0.0,0.0,0.0,607.0,614.0,0.0,640.0,O
0.0,0.0,0.0,0.0,541.0,614.0,0.0,640.0,O
0.0,0.0,0.0,0.0,458.0,553.0,0.0,568.0,O
0.0,0.0,0.0,0.0,426.0,546.0,0.0,542.0,O
0.0,0.0,0.0,0.0,435.0,566.0,0.0,552.0,O
0.0,0.0,0.0,0.0,424.0,538.0,0.0,521.0,O
0.0,0.0,0.0,0.0,430.0,540.0,0.0,526.0,O
0.0,0.0,0.0,0.0,443.0,552.0,0.0,534.0,O
0.0,0.0,0.0,0.0,433.0,537.0,0.0,526.0,O
0.0,0.0,0.0,0.0,438.0,535.0,0.0,526.0,O
0.0,0.0,0.0,0.0,438.0,535.0,0.0,526.0,O
0.0,0.0,0.0,0.0,504.0,535.0,0.0,526.0,O
0.0,0.0,0.0,0.0,571.0,585.0,0.0,583.0,O
0.0,0.0,0.0,0.0,618.0,597.0,0.0,607.0,O
0.0,0.0,0.0,0.0,605.0,570.0,0.0,587.0,O
0.0,0.0,0.0,0.0,593.0,570.0,0.0,590.0,O
0.0,0.0,0.0,0.0,558.0,541.0,0.0,556.0,O
0.0,0.0,0.0,0.0,489.0,478.0,0.0,495.0,O
0.0,0.0,0.0,0.0,439.0,435.0,0.0,443.0,O
0.0,0.0,0.0,0.0,357.0,360.0,0.0,349.0,O
0.0,0.0,0.0,0.0,295.0,290.0,0.0,250.0,O
0.0,0.0,0.0,0.0,246.0,242.0,0.0,152.0,O
0.0,0.0,0.0,0.0,206.0,197.0,0.0,68.0,O
0.0,0.0,0.0,0.0,179.0,188.0,0.0,35.0,O
0.0,0.0,0.0,0.0,173.0,186.0,0.0,35.0,O
0.0,0.0,0.0,0.0,173.0,186.0,0.0,33.0,O
0.0,0.0,0.0,0.0,163.0,170.0,0.0,17.0,O
0.0,0.0,0.0,0.0,165.0,177.0,0.0,3.0,O
0.0,0.0,0.0,0.0,142.0,161.0,0.0,0.0,O
0.0,0.0,0.0,0.0,134.0,181.0,0.0,17.0,O
0.0,0.0,0.0,0.0,157.0,208.0,0.0,96.0,O
0.0,0.0,0.0,0.0,187.0,236.0,0.0,187.0,O
0.0,0.0,0.0,0.0,223.0,264.0,0.0,261.0,O
0.0,0.0,0.0,0.0,273.0,308.0,0.0,332.0,O
0.0,0.0,0.0,0.0,321.0,352.0,0.0,373.0,O
0.0,0.0,0.0,0.0,350.0,381.0,0.0,401.0,O
0.0,0.0,0.0,0.0,406.0,434.0,0.0,455.0,O
0.0,0.0,0.0,0.0,451.0,470.0,0.0,514.0,O
0.0,0.0,0.0,0.0,516.0,526.0,0.0,587.0,O
0.0,0.0,0.0,0.0,583.0,564.0,0.0,623.0,O
0.0,0.0,0.0,0.0,612.0,604.0,0.0,642.0,O
0.0,0.0,0.0,0.0,632.0,624.0,0.0,649.0,O
0.0,0.0,0.0,0.0,652.0,651.0,0.0,674.0,O
82.0,0.0,0.0,0.0,675.0,681.0,0.0,706.0,O
151.0,0.0,0.0,0.0,713.0,720.0,0.0,739.0,O
185.0,0.0,0.0,0.0,748.0,756.0,0.0,770.0,O
151.0,0.0,0.0,0.0,751.0,762.0,0.0,774.0,O
142.0,0.0,0.0,0.0,748.0,762.0,0.0,771.0,O
148.0,0.0,0.0,0.0,754.0,767.0,0.0,770.0,O
148.0,0.0,0.0,0.0,766.0,783.0,0.0,781.0,O
219.0,0.0,0.0,0.0,726.0,786.0,0.0,781.0,O
219.0,0.0,0.0,0.0,726.0,786.0,0.0,781.0,O
219.0,0.0,0.0,0.0,726.0,786.0,0.0,781.0,O
219.0,0.0,0.0,0.0,726.0,786.0,0.0,781.0,O
142.0,0.0,0.0,0.0,660.0,717.0,0.0,716.0,O
27.0,0.0,0.0,0.0,596.0,653.0,0.0,658.0,O
0.0,0.0,0.0,0.0,554.0,611.0,0.0,623.0,O
0.0,0.0,0.0,0.0,530.0,587.0,0.0,606.0,O
0.0,0.0,0.0,0.0,506.0,569.0,0.0,588.0,O
0.0,0.0,0.0,0.0,466.0,527.0,0.0,552.0,O
0.0,0.0,0.0,0.0,469.0,481.0,0.0,507.0,O
0.0,0.0,0.0,0.0,469.0,481.0,0.0,507.0,O
0.0,0.0,0.0,0.0,469.0,481.0,0.0,507.0,O
0.0,0.0,0.0,0.0,465.0,476.0,0.0,498.0,O
0.0,0.0,0.0,0.0,506.0,519.0,0.0,540.0,O
0.0,0.0,0.0,0.0,540.0,552.0,0.0,570.0,O
0.0,0.0,0.0,0.0,571.0,582.0,0.0,595.0,O
0.0,0.0,0.0,0.0,582.0,593.0,0.0,602.0,O
0.0,0.0,0.0,0.0,592.0,600.0,0.0,608.0,O
31.0,0.0,0.0,0.0,608.0,615.0,0.0,622.0,O
65.0,0.0,0.0,0.0,631.0,639.0,0.0,644.0,O
65.0,0.0,0.0,0.0,631.0,639.0,0.0,644.0,O
65.0,0.0,0.0,0.0,631.0,639.0,0.0,644.0,O
0.0,0.0,0.0,0.0,635.0,644.0,0.0,653.0,O
0.0,0.0,0.0,0.0,662.0,671.0,0.0,676.0,O
14.0,0.0,0.0,0.0,691.0,700.0,0.0,700.0,O
40.0,0.0,0.0,0.0,709.0,718.0,0.0,715.0,O
46.0,0.0,0.0,0.0,730.0,736.0,0.0,731.0,O
34.0,0.0,0.0,0.0,749.0,754.0,0.0,747.0,O
0.0,0.0,0.0,0.0,767.0,768.0,0.0,757.0,O
0.0,0.0,0.0,0.0,777.0,777.0,0.0,763.0,O
0.0,0.0,0.0,0.0,777.0,777.0,0.0,763.0,O
0.0,0.0,0.0,0.0,777.0,777.0,0.0,763.0,O
0.0,0.0,0.0,0.0,777.0,777.0,0.0,763.0,O
0.0,0.0,0.0,0.0,802.0,797.0,0.0,775.0,O
